Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
MA Agarwal,2019-2021,12,20,0,857,243,42.85,1556,55.07,3,2,1,104,18
R Ashwin,2019-2021,14,18,2,324,106,20.25,686,47.23,1,0,2,41,2
JJ Bumrah,2019-2021,11,16,5,57,28,5.18,128,44.53,0,0,6,7,1
RA Jadeja,2019-2021,12,16,5,556,91,50.54,1016,54.72,0,6,0,50,11
V Kohli,2019-2021,16,25,2,934,254*,40.60,1725,54.14,2,5,5,109,3
Kuldeep Yadav,2021-2021,1,2,0,3,3,1.50,24,12.50,0,0,1,0,0
Mohammed Shami,2019-2021,12,13,5,95,21,11.87,101,94.05,0,0,3,9,4
Mohammed Siraj,2020-2021,6,7,3,46,16*,11.50,56,82.14,0,0,1,5,2
S Nadeem,2019-2021,2,3,1,1,1*,0.50,30,3.33,0,0,2,0,0
T Natarajan,2021-2021,1,1,1,1,1*,-,9,11.11,0,0,0,0,0
RR Pant,2019-2021,13,21,2,732,101,38.52,1087,67.34,1,4,0,83,17
AR Patel,2021-2021,3,4,0,55,43,13.75,131,41.98,0,0,1,7,1
CA Pujara,2019-2021,19,32,1,857,81,27.64,2385,35.93,0,9,3,105,3
AM Rahane,2019-2021,19,31,3,1164,115,41.57,2479,46.95,3,6,2,131,6
KL Rahul,2019-2021,3,6,0,211,84,35.16,523,40.34,0,1,0,30,0
WP Saha,2019-2020,6,6,1,87,24,17.40,151,57.61,0,0,0,12,0
NA Saini,2021-2021,2,3,1,8,5,4.00,27,29.62,0,0,0,1,0
I Sharma,2019-2021,12,13,3,124,57,12.40,284,43.66,0,1,3,13,1
RG Sharma,2019-2021,13,21,2,1142,212,60.10,1887,60.51,4,2,0,137,27
PP Shaw,2020-2020,3,6,0,102,54,17.00,142,71.83,0,1,1,14,1
Shubman Gill,2020-2021,8,15,2,414,91,31.84,741,55.87,0,3,2,54,5
SN Thakur,2021-2021,2,3,0,69,67,23.00,124,55.64,0,1,1,9,2
GH Vihari,2019-2021,8,14,2,457,111,38.08,1008,45.33,1,3,0,64,1
Washington Sundar,2021-2021,4,6,2,265,96*,66.25,502,52.78,0,3,2,31,5
UT Yadav,2019-2020,7,8,2,76,31,12.66,76,100.00,0,0,2,4,8
