Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,5,10,Ct,St
Abid Ali,10,-,-,-,-,-,-,-,-,-,-,-,-,4,0
Asad Shafiq,8,3,12.0,0,44,1,1/24,1/24,44.00,3.66,72.0,0,0,10,0
Azhar Ali,12,2,1.1,0,9,0,-,-,-,7.71,-,0,0,1,0
Babar Azam,10,-,-,-,-,-,-,-,-,-,-,-,-,5,0
Faheem Ashraf,4,7,83.0,23,241,4,2/106,2/106,60.25,2.90,124.5,0,0,1,0
Fawad Alam,6,2,13.0,0,51,2,2/46,2/46,25.50,3.92,39.0,0,0,2,0
Haris Sohail,6,7,41.0,3,138,6,2/11,2/11,23.00,3.36,41.0,0,0,6,0
Hasan Ali,2,4,61.4,10,236,12,5/54,10/114,19.66,3.82,30.8,2,1,0,0
Iftikhar Ahmed,2,2,27.0,0,128,0,-,-,-,4.74,-,0,0,0,0
Imam-ul-Haq,1,-,-,-,-,-,-,-,-,-,-,-,-,0,0
Imran Butt,2,-,-,-,-,-,-,-,-,-,-,-,-,6,0
Imran Khan,1,1,24.0,3,73,1,1/73,1/73,73.00,3.04,144.0,0,0,0,0
Mohammad Abbas,9,13,283.4,92,671,18,4/55,5/88,37.27,2.36,94.5,0,0,2,0
Mohammad Rizwan,12,-,-,-,-,-,-,-,-,-,-,-,-,31,1
Muhammad Musa,1,1,20.0,1,114,0,-,-,-,5.70,-,0,0,0,0
Naseem Shah,9,13,224.4,33,849,20,5/31,5/87,42.45,3.77,67.4,1,0,1,0
Nauman Ali,2,4,79.3,26,172,8,5/35,7/73,21.50,2.16,59.6,1,0,0,0
Shadab Khan,1,2,11.3,0,47,2,2/13,2/47,23.50,4.08,34.5,0,0,2,0
Shaheen Shah Afridi,12,18,386.4,73,1175,36,5/77,6/128,32.63,3.03,64.4,1,0,1,0
Shan Masood,10,6,12.0,3,48,0,-,-,-,4.00,-,0,0,6,0
Usman Shinwari,1,1,15.0,4,54,1,1/54,1/54,54.00,3.60,90.0,0,0,0,0
Yasir Shah,10,16,384.4,43,1415,32,4/58,8/165,44.21,3.67,72.1,0,0,4,0
Zafar Gohar,1,1,32.0,0,159,0,-,-,-,4.96,-,0,0,0,0
