Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,5,10,Ct,St
J Blackwood,2019-2021,12,3,11.0,1,36,1,1/16,1/33,36.00,3.27,66.0,0,0,5,0
NE Bonner,2021-2021,5,3,8.0,0,46,1,1/16,1/29,46.00,5.75,48.0,0,0,4,0
KC Brathwaite,2019-2021,13,13,56.5,2,177,5,3/25,3/32,35.40,3.11,68.2,0,0,7,0
DM Bravo,2019-2020,4,-,-,-,-,-,-,-,-,-,-,-,-,1,0
SSJ Brooks,2019-2020,7,-,-,-,-,-,-,-,-,-,-,-,-,5,0
JD Campbell,2019-2021,11,1,6.0,0,20,0,-,-,-,3.33,-,0,0,5,0
RL Chase,2019-2021,9,12,227.0,36,800,18,5/172,6/190,44.44,3.52,75.6,1,0,3,0
RRS Cornwall,2019-2021,7,13,357.5,68,1012,22,5/74,9/179,46.00,2.82,97.5,1,0,10,0
ML Cummins,2019-2019,1,2,20.0,2,69,0,-,-,-,3.45,-,0,0,0,0
J Da Silva,2020-2021,7,-,-,-,-,-,-,-,-,-,-,-,-,23,1
SO Dowrich,2020-2020,4,-,-,-,-,-,-,-,-,-,-,-,-,7,0
ST Gabriel,2019-2021,12,22,346.3,62,1186,30,5/75,9/137,39.53,3.42,69.3,1,0,0,0
JN Hamilton,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,5,0
SO Hetmyer,2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-,1,0
CK Holder,2020-2020,1,1,26.0,1,110,2,2/110,2/110,55.00,4.23,78.0,0,0,0,0
JO Holder,2019-2021,11,19,376.2,105,900,31,6/42,7/91,29.03,2.39,72.8,3,0,19,0
SD Hope,2019-2021,6,-,-,-,-,-,-,-,-,-,-,-,-,13,0
JNT Seales,2021-2021,2,3,51.0,13,153,5,3/75,3/75,30.60,3.00,61.2,0,0,1,0
AS Joseph,2020-2021,7,12,193.0,34,678,13,3/109,3/97,52.15,3.51,89.0,0,0,2,0
KR Mayers,2021-2021,6,10,76.0,27,167,10,3/24,6/52,16.70,2.19,45.6,0,0,4,0
S Moseley,2021-2021,2,-,-,-,-,-,-,-,-,-,-,-,-,3,0
KOA Powell,2021-2021,2,-,-,-,-,-,-,-,-,-,-,-,-,1,0
KAJ Roach,2019-2021,11,20,386.2,92,1056,39,4/52,7/97,27.07,2.73,59.4,0,0,4,0
JA Warrican,2021-2021,2,4,95.2,14,285,10,4/133,7/190,28.50,2.98,57.2,0,0,0,0
